win:	lose:	draw:
8650	38	10	2
8700	42	5	3
8750	38	7	5
8800	40	5	5
8850	37	7	6
8900	37	9	4
8950	44	6	0
9000	38	4	8
9050	38	12	0
9100	36	9	5
9150	42	4	4
9200	40	4	6
9250	42	6	2
9300	42	5	3
9350	38	2	10
9400	36	11	3
9450	38	5	7
9500	40	6	4
9550	43	4	3
9600	41	3	6
9650	41	5	4
9700	40	6	4
9750	38	4	8
9800	40	6	4
9850	43	3	4
9900	40	8	2
9950	39	5	6
10000	40	5	5
10050	38	8	4
10100	40	4	6
10150	41	7	2
10200	40	7	3
10250	34	7	9
10300	44	1	5
10350	40	3	7
10400	38	6	6
10450	40	5	5
10500	41	4	5
10550	35	9	6
10600	42	6	2
10650	38	8	4
10700	36	10	4
10750	38	7	5
10800	39	6	5
10850	41	4	5
10900	40	7	3
10950	39	9	2
11000	37	6	7
11050	40	6	4
11100	43	5	2
11150	36	9	5
11200	32	7	11
11250	45	2	3
11300	44	5	1
11350	41	8	1
11400	37	6	7
11450	37	10	3
11500	36	8	6
11550	34	3	13
11600	36	8	6
11650	38	8	4
11700	43	3	4
11750	38	8	4
11800	37	8	5
11850	40	6	4
11900	29	8	13
11950	41	5	4
12000	42	5	3
12050	36	6	8
12100	42	4	4
12150	36	10	4
12200	43	5	2
12250	39	7	4
12300	40	6	4
12350	37	5	8
12400	39	4	7
12450	39	4	7
12500	40	6	4
12550	42	4	4
12600	39	5	6
12650	36	7	7
12700	36	5	9
12750	40	8	2
12800	36	7	7
12850	40	5	5
12900	41	4	5
12950	35	6	9
13000	36	9	5
13050	46	2	2
13100	40	6	4
13150	41	7	2
13200	41	4	5
13250	43	3	4
13300	39	4	7
13350	39	7	4
13400	40	7	3
13450	38	8	4
13500	37	10	3
13550	40	6	4
13600	40	5	5
13650	38	6	6
13700	35	9	6
13750	39	6	5
13800	42	2	6
13850	39	5	6
13900	36	6	8
13950	39	7	4
14000	42	3	5
14050	42	6	2
14100	46	2	2
14150	40	4	6
14200	38	6	6
14250	34	8	8
14300	39	6	5
14350	45	3	2
14400	43	6	1
14450	44	5	1
14500	40	4	6
14550	43	3	4
14600	41	5	4
14650	38	10	2
14700	41	2	7
14750	43	6	1
14800	42	5	3
14850	38	5	7
14900	42	4	4
14950	39	6	5
15000	39	7	4
15050	35	12	3
15100	39	7	4
15150	39	6	5
15200	41	7	2
15250	42	3	5
15300	34	10	6
15350	45	3	2
15400	37	8	5
15450	42	6	2
15500	44	3	3
15550	42	5	3
15600	42	4	4
15650	42	2	6
15700	38	9	3
15750	42	3	5
15800	42	4	4
15850	40	9	1
15900	41	3	6
15950	38	5	7
16000	38	7	5
16050	44	3	3
16100	41	7	2
16150	34	10	6
16200	35	11	4
16250	41	5	4
16300	40	6	4
16350	38	5	7
16400	37	4	9
16450	39	8	3
16500	43	4	3
16550	41	5	4
16600	43	4	3
16650	38	7	5
16700	43	2	5
16750	41	5	4
16800	36	6	8
16850	38	5	7
16900	41	6	3
16950	41	5	4
17000	42	5	3
17050	37	7	6
17100	41	5	4
17150	40	9	1
17200	42	6	2
17250	38	5	7
17300	45	2	3
17350	39	8	3
17400	43	4	3
17450	43	4	3
17500	40	4	6
17550	38	6	6
17600	39	5	6
17650	42	4	4
17700	40	5	5
17750	39	3	8
17800	43	2	5
17850	44	1	5
17900	41	5	4
17950	37	7	6
18000	42	4	4
18050	43	4	3
18100	40	3	7
18150	45	2	3
18200	43	4	3
18250	43	3	4
18300	38	6	6
18350	46	2	2
18400	43	4	3
18450	37	5	8
18500	45	2	3
18550	39	6	5
18600	41	7	2
18650	42	4	4
18700	42	5	3
18750	41	3	6
18800	38	6	6
18850	40	9	1
18900	40	6	4
18950	40	7	3
19000	43	3	4
19050	43	3	4
19100	44	2	4
19150	43	3	4
19200	35	6	9
19250	37	6	7
19300	42	4	4
19350	43	1	6
19400	36	9	5
19450	41	5	4
19500	44	2	4
19550	41	3	6
19600	42	5	3
19650	45	2	3
19700	42	4	4
19750	44	2	4
19800	43	3	4
19850	43	4	3
19900	42	5	3
19950	43	3	4
20000	42	5	3
20050	40	6	4
20100	42	5	3
20150	44	4	2
20200	42	3	5
20250	36	5	9
20300	44	1	5
20350	37	8	5
20400	45	2	3
20450	42	7	1
20500	42	3	5
20550	40	4	6
20600	34	9	7
20650	37	8	5
20700	43	3	4
20750	39	5	6
20800	43	5	2
20850	38	6	6
20900	39	4	7
20950	39	5	6
21000	42	3	5
21050	41	2	7
21100	43	2	5
21150	46	3	1
21200	43	2	5
21250	37	3	10
21300	41	4	5
21350	41	5	4
21400	36	8	6
21450	37	10	3
21500	41	5	4
21550	43	2	5
21600	41	2	7
21650	42	4	4
21700	42	3	5
21750	38	5	7
21800	43	5	2
21850	45	4	1
21900	43	3	4
21950	44	1	5
22000	41	4	5
22050	48	0	2
22100	40	4	6
22150	42	1	7
22200	46	3	1
22250	42	8	0
22300	41	4	5
22350	43	6	1
22400	43	1	6
22450	40	4	6
22500	43	3	4
22550	41	7	2
22600	40	7	3
22650	38	3	9
22700	38	7	5
22750	44	4	2
22800	41	5	4
22850	42	6	2
22900	43	4	3
22950	44	3	3
23000	46	3	1
23050	45	3	2
23100	41	5	4
23150	40	3	7
23200	45	2	3
23250	41	5	4
23300	42	6	2
23350	43	5	2
23400	42	4	4
23450	41	2	7
23500	47	2	1
23550	44	2	4
23600	41	3	6
23650	44	3	3
23700	43	5	2
23750	41	4	5
23800	46	2	2
23850	43	2	5
23900	44	2	4
23950	42	6	2
24000	46	1	3
24050	38	3	9
24100	41	4	5
24150	44	3	3
24200	42	4	4
24250	40	7	3
24300	39	5	6
24350	41	3	6
24400	43	1	6
24450	43	5	2
24500	44	4	2
24550	42	5	3
24600	40	5	5
24650	41	4	5
24700	42	3	5
24750	36	7	7
24800	41	2	7
24850	40	4	6
24900	44	4	2
24950	45	4	1
25000	42	3	5
25050	42	5	3
25100	41	5	4
25150	36	5	9
25200	41	4	5
25250	40	7	3
25300	41	6	3
25350	40	3	7
25400	42	5	3
25450	42	3	5
25500	40	5	5
25550	43	3	4
25600	44	3	3
25650	43	4	3
25700	45	1	4
25750	43	3	4
25800	42	3	5
25850	43	3	4
25900	40	7	3
25950	46	0	4
26000	41	6	3
26050	44	2	4
26100	43	1	6
26150	41	3	6
26200	47	2	1
26250	44	4	2
26300	48	1	1
26350	45	4	1
26400	44	2	4
26450	44	1	5
26500	43	4	3
26550	44	4	2
26600	44	3	3
26650	41	3	6
26700	42	6	2
26750	41	6	3
26800	43	5	2
26850	44	3	3
26900	42	2	6
26950	40	6	4
27000	42	4	4
27050	42	3	5
27100	41	7	2
27150	40	3	7
27200	44	2	4
27250	46	2	2
27300	43	4	3
27350	39	7	4
27400	43	4	3
27450	43	5	2
27500	44	3	3
27550	43	4	3
27600	44	0	6
27650	43	1	6
27700	38	3	9
27750	40	3	7
27800	43	3	4
27850	45	2	3
27900	46	2	2
27950	42	3	5
28000	42	4	4
28050	43	1	6
28100	34	6	10
28150	41	2	7
28200	45	3	2
28250	40	5	5
28300	45	2	3
28350	42	3	5
28400	44	4	2
28450	41	6	3
28500	42	2	6
28550	44	2	4
28600	38	5	7
28650	46	3	1
28700	40	8	2
28750	45	2	3
28800	43	4	3
28850	41	5	4
28900	45	3	2
28950	43	2	5
29000	40	5	5
29050	45	2	3
29100	44	1	5
29150	43	3	4
29200	38	6	6
29250	40	5	5
29300	44	1	5
29350	45	4	1
29400	39	3	8
29450	45	2	3
29500	44	3	3
29550	39	8	3
29600	44	3	3
29650	44	1	5
29700	40	7	3
29750	41	2	7
29800	45	4	1
29850	40	2	8
29900	38	5	7
29950	45	1	4
30000	42	2	6
30050	43	3	4
30100	43	3	4
30150	45	2	3
30200	44	3	3
30250	46	2	2
30300	45	1	4
30350	45	1	4
30400	41	5	4
30450	43	3	4
30500	45	4	1
30550	42	3	5
30600	45	2	3
30650	43	3	4
30700	40	4	6
30750	47	1	2
30800	45	2	3
30850	41	1	8
30900	42	4	4
30950	42	2	6
31000	43	3	4
31050	39	4	7
31100	48	1	1
31150	41	4	5
31200	45	1	4
31250	40	3	7
31300	42	4	4
31350	45	1	4
31400	38	7	5
31450	38	4	8
31500	42	4	4
31550	46	2	2
31600	43	2	5
31650	41	5	4
31700	44	4	2
31750	45	2	3
31800	44	3	3
31850	45	1	4
31900	46	1	3
31950	41	7	2
32000	41	4	5
32050	40	2	8
32100	45	2	3
32150	45	2	3
32200	39	3	8
32250	45	1	4
32300	41	4	5
32350	46	1	3
32400	44	1	5
32450	44	1	5
32500	47	2	1
32550	41	4	5
32600	42	5	3
32650	41	5	4
32700	41	2	7
32750	44	1	5
32800	46	4	0
32850	39	6	5
32900	43	3	4
32950	43	4	3
33000	45	3	2
33050	43	2	5
33100	45	3	2
33150	40	4	6
33200	44	1	5
33250	42	3	5
33300	40	6	4
33350	43	6	1
33400	45	1	4
33450	43	4	3
33500	44	1	5
33550	45	2	3
33600	45	4	1
33650	42	5	3
33700	42	3	5
33750	43	3	4
33800	42	3	5
33850	43	2	5
33900	41	5	4
33950	46	1	3
34000	45	1	4
34050	40	5	5
34100	42	5	3
34150	43	5	2
34200	45	1	4
34250	44	5	1
34300	45	3	2
34350	43	4	3
34400	48	0	2
34450	48	1	1
34500	46	4	0
34550	46	0	4
34600	44	1	5
34650	46	1	3
34700	43	1	6
34750	42	2	6
34800	41	2	7
34850	44	2	4
34900	45	4	1
34950	39	4	7
35000	45	2	3
35050	46	1	3
35100	49	0	1
35150	42	4	4
35200	45	0	5
35250	48	2	0
35300	49	0	1
35350	46	0	4
35400	41	5	4
35450	47	2	1
35500	45	1	4
35550	42	3	5
35600	46	1	3
35650	46	2	2
35700	49	0	1
35750	44	4	2
35800	48	1	1
35850	43	2	5
35900	41	4	5
35950	47	0	3
36000	45	3	2
36050	47	1	2
36100	47	1	2
36150	40	3	7
36200	43	2	5
36250	39	6	5
36300	42	1	7
36350	44	1	5
36400	38	9	3
36450	42	6	2
36500	41	1	8
36550	46	0	4
36600	41	1	8
36650	44	2	4
36700	44	3	3
36750	43	4	3
36800	42	3	5
36850	48	0	2
36900	43	4	3
36950	45	3	2
37000	37	3	10
37050	44	0	6
37100	40	1	9
37150	44	2	4
37200	47	0	3
37250	42	4	4
37300	45	3	2
37350	45	2	3
37400	43	3	4
37450	43	2	5
37500	45	2	3
37550	41	2	7
37600	45	3	2
37650	47	3	0
37700	46	2	2
37750	42	2	6
37800	46	0	4
37850	47	0	3
37900	45	2	3
37950	43	3	4
38000	38	4	8
38050	43	2	5
38100	43	3	4
38150	45	1	4
38200	39	6	5
38250	42	3	5
38300	43	3	4
38350	48	0	2
38400	47	1	2
38450	42	3	5
38500	41	3	6
38550	42	1	7
38600	42	1	7
38650	45	3	2
38700	47	1	2
38750	44	2	4
38800	45	1	4
38850	44	0	6
38900	43	3	4
38950	43	0	7
39000	40	5	5
39050	43	3	4
39100	46	3	1
39150	49	1	0
39200	45	3	2
39250	42	3	5
39300	45	4	1
39350	45	1	4
39400	44	4	2
39450	45	2	3
39500	43	3	4
39550	45	3	2
39600	47	1	2
39650	47	3	0
39700	44	0	6
39750	45	0	5
39800	49	0	1
39850	47	1	2
39900	49	0	1
39950	46	3	1
40000	41	2	7
40050	43	0	7
40100	45	1	4
40150	46	2	2
40200	45	2	3
40250	44	1	5
40300	43	3	4
40350	44	1	5
40400	38	4	8
40450	45	1	4
40500	44	4	2
40550	44	4	2
40600	48	1	1
40650	41	2	7
40700	46	3	1
40750	41	1	8
40800	45	4	1
40850	43	2	5
40900	44	3	3
40950	45	1	4
41000	46	1	3
41050	47	1	2
41100	47	1	2
41150	48	2	0
41200	46	1	3
41250	47	2	1
41300	48	1	1
41350	43	3	4
41400	46	1	3
41450	42	4	4
41500	46	2	2
41550	43	2	5
41600	41	6	3
41650	49	0	1
41700	45	2	3
41750	45	0	5
41800	43	2	5
41850	47	1	2
41900	45	4	1
41950	43	3	4
42000	46	1	3
42050	45	1	4
42100	44	2	4
42150	45	1	4
42200	44	2	4
42250	48	0	2
42300	46	1	3
42350	47	1	2
42400	44	2	4
42450	41	3	6
42500	45	2	3
42550	47	0	3
42600	43	2	5
42650	43	4	3
42700	45	1	4
42750	43	3	4
42800	47	2	1
42850	45	1	4
42900	49	0	1
42950	45	0	5
43000	46	0	4
43050	48	1	1
43100	46	1	3
43150	45	0	5
43200	46	1	3
43250	42	2	6
43300	46	2	2
43350	44	1	5
43400	46	2	2
43450	47	1	2
43500	48	0	2
43550	45	0	5
43600	45	1	4
43650	45	0	5
43700	48	2	0
43750	45	2	3
43800	43	1	6
43850	45	0	5
43900	45	3	2
43950	48	0	2
44000	45	1	4
44050	46	1	3
44100	43	2	5
44150	46	1	3
44200	42	1	7
44250	47	2	1
44300	47	1	2
44350	43	2	5
44400	43	5	2
44450	46	1	3
44500	46	0	4
44550	45	1	4
44600	42	2	6
44650	42	2	6
44700	45	1	4
44750	41	3	6
44800	44	1	5
44850	41	3	6
44900	45	1	4
44950	43	4	3
45000	45	1	4
45050	46	2	2
45100	43	2	5
45150	46	0	4
45200	46	2	2
45250	43	0	7
45300	41	6	3
45350	44	2	4
45400	47	1	2
45450	48	0	2
45500	42	1	7
45550	47	1	2
45600	46	0	4
45650	45	0	5
45700	47	0	3
45750	43	3	4
45800	44	1	5
45850	45	1	4
45900	44	2	4
45950	45	2	3
46000	43	1	6
46050	43	3	4
46100	43	2	5
46150	45	1	4
46200	49	0	1
46250	44	1	5
46300	45	1	4
46350	47	1	2
46400	43	1	6
46450	46	0	4
46500	46	1	3
46550	49	0	1
46600	46	1	3
46650	48	1	1
46700	47	0	3
46750	44	2	4
46800	47	1	2
46850	40	3	7
46900	49	1	0
46950	43	1	6
47000	47	2	1
47050	46	0	4
47100	46	1	3
47150	43	0	7
47200	48	0	2
47250	42	0	8
47300	47	2	1
47350	44	3	3
47400	47	1	2
47450	41	3	6
47500	42	3	5
47550	40	2	8
47600	48	0	2
47650	48	0	2
47700	46	0	4
47750	45	2	3
47800	48	1	1
47850	45	2	3
47900	46	1	3
47950	43	3	4
48000	45	4	1
48050	46	0	4
48100	45	1	4
48150	46	1	3
48200	43	2	5
48250	47	0	3
48300	45	2	3
48350	48	0	2
48400	48	1	1
48450	46	1	3
48500	46	1	3
48550	44	1	5
48600	46	1	3
48650	46	1	3
48700	49	0	1
48750	47	2	1
48800	46	1	3
48850	47	0	3
48900	45	1	4
48950	47	0	3
49000	48	0	2
49050	47	3	0
49100	42	0	8
49150	47	2	1
49200	45	3	2
49250	46	1	3
49300	46	1	3
49350	46	0	4
49400	46	1	3
49450	48	0	2
49500	46	0	4
49550	45	1	4
49600	47	1	2
49650	47	2	1
49700	43	1	6
49750	47	0	3
49800	48	0	2
49850	46	2	2
49900	43	3	4
49950	46	2	2
50000	47	0	3
50050	47	0	3
50100	47	0	3
50150	43	1	6
50200	46	0	4
50250	50	0	0
50300	44	1	5
50350	47	0	3
50400	43	2	5
50450	47	1	2
50500	46	0	4
50550	48	0	2
50600	46	0	4
50650	48	0	2
50700	44	0	6
50750	48	1	1
50800	49	0	1
50850	43	2	5
50900	46	1	3
50950	47	0	3
51000	47	0	3
51050	46	1	3
51100	46	0	4
51150	47	1	2
51200	47	0	3
51250	47	2	1
51300	47	0	3
51350	48	1	1
51400	48	0	2
51450	42	0	8
51500	47	1	2
51550	44	4	2
51600	49	0	1
51650	48	0	2
51700	47	1	2
51750	45	1	4
51800	44	3	3
51850	48	2	0
51900	47	1	2
51950	44	0	6
52000	46	0	4
52050	46	1	3
52100	44	1	5
52150	46	1	3
52200	43	2	5
52250	47	1	2
52300	44	3	3
52350	50	0	0
52400	50	0	0
52450	48	2	0
52500	47	2	1
52550	47	0	3
52600	45	2	3
52650	48	0	2
52700	48	1	1
52750	48	0	2
52800	46	1	3
52850	48	0	2
52900	47	0	3
52950	49	0	1
53000	46	1	3
53050	44	1	5
53100	42	0	8
53150	48	1	1
53200	46	3	1
53250	49	1	0
53300	44	1	5
53350	48	1	1
53400	47	0	3
53450	50	0	0
53500	46	1	3
53550	44	4	2
53600	47	1	2
53650	46	2	2
53700	43	3	4
53750	49	0	1
53800	48	0	2
53850	47	0	3
53900	47	0	3
53950	48	0	2
54000	46	0	4
54050	46	1	3
54100	45	1	4
54150	47	0	3
54200	46	2	2
54250	45	3	2
54300	45	2	3
54350	48	1	1
54400	43	1	6
54450	44	3	3
54500	45	0	5
54550	46	1	3
54600	48	0	2
54650	47	0	3
54700	45	1	4
54750	47	1	2
54800	46	1	3
54850	47	0	3
54900	45	1	4
54950	46	1	3
55000	47	1	2
55050	46	0	4
55100	48	1	1
55150	48	0	2
55200	48	0	2
55250	48	0	2
55300	48	1	1
55350	46	1	3
55400	44	1	5
55450	48	0	2
55500	49	0	1
55550	47	1	2
55600	48	0	2
55650	49	0	1
55700	47	1	2
55750	46	1	3
55800	47	2	1
55850	46	1	3
55900	46	0	4
55950	47	0	3
56000	46	0	4
56050	46	0	4
56100	46	0	4
56150	50	0	0
56200	45	0	5
56250	49	0	1
56300	43	3	4
56350	49	0	1
56400	44	0	6
56450	45	0	5
56500	45	1	4
56550	42	3	5
56600	46	1	3
56650	42	2	6
56700	48	0	2
56750	45	1	4
56800	47	0	3
56850	45	1	4
56900	45	3	2
56950	42	3	5
57000	48	1	1
57050	44	1	5
57100	45	1	4
57150	48	0	2
57200	48	0	2
57250	44	0	6
57300	46	0	4
57350	46	1	3
57400	44	1	5
57450	48	0	2
57500	45	1	4
57550	47	2	1
57600	47	1	2
57650	47	0	3
57700	48	2	0
57750	48	0	2
57800	40	4	6
57850	47	0	3
57900	47	1	2
57950	48	1	1
58000	46	1	3
58050	48	1	1
58100	46	1	3
58150	46	1	3
58200	48	1	1
58250	46	0	4
58300	48	0	2
58350	43	1	6
58400	45	1	4
58450	46	1	3
58500	47	0	3
58550	44	1	5
58600	46	3	1
58650	50	0	0
58700	46	0	4
58750	46	0	4
58800	48	0	2
58850	49	0	1
58900	48	0	2
58950	47	1	2
59000	46	1	3
59050	46	0	4
59100	44	1	5
59150	41	2	7
59200	48	1	1
59250	47	1	2
59300	47	1	2
59350	45	1	4
59400	44	2	4
59450	43	4	3
59500	48	1	1
59550	46	0	4
59600	48	0	2
59650	48	0	2
59700	42	1	7
59750	45	3	2
59800	47	1	2
59850	47	0	3
59900	47	3	0
59950	47	0	3
60000	46	1	3
60050	45	0	5
60100	45	1	4
60150	46	1	3
60200	48	0	2
60250	45	2	3
60300	45	2	3
60350	47	1	2
60400	46	2	2
60450	48	1	1
60500	47	0	3
60550	47	0	3
60600	44	4	2
60650	46	0	4
60700	46	0	4
60750	46	2	2
60800	46	2	2
60850	47	2	1
60900	48	1	1
60950	42	2	6
61000	44	1	5
61050	44	3	3
61100	46	1	3
61150	47	2	1
61200	46	2	2
61250	45	0	5
61300	47	0	3
61350	47	0	3
61400	45	1	4
61450	48	0	2
61500	47	1	2
61550	48	0	2
61600	45	0	5
61650	47	2	1
61700	47	0	3
61750	47	2	1
61800	42	3	5
61850	45	0	5
61900	47	0	3
61950	48	0	2
62000	48	0	2
62050	48	0	2
62100	48	0	2
62150	42	2	6
62200	45	0	5
62250	46	2	2
62300	47	0	3
62350	44	1	5
62400	43	1	6
62450	45	1	4
62500	46	2	2
62550	46	1	3
62600	46	1	3
62650	45	3	2
62700	44	1	5
62750	45	0	5
62800	48	0	2
62850	48	1	1
62900	46	0	4
62950	46	2	2
63000	49	0	1
63050	48	0	2
63100	43	2	5
63150	46	1	3
63200	49	1	0
63250	47	2	1
63300	45	1	4
63350	43	0	7
63400	45	0	5
63450	48	0	2
63500	48	0	2
63550	49	0	1
63600	45	2	3
63650	46	1	3
63700	43	1	6
63750	49	0	1
63800	48	0	2
63850	46	3	1
63900	46	0	4
63950	43	2	5
64000	47	2	1
64050	46	2	2
64100	47	2	1
64150	46	2	2
64200	46	1	3
64250	47	1	2
64300	45	3	2
64350	45	2	3
64400	41	3	6
64450	48	0	2
64500	46	0	4
64550	48	1	1
64600	46	0	4
64650	45	1	4
64700	47	1	2
64750	46	0	4
64800	49	0	1
64850	45	0	5
64900	45	2	3
64950	45	0	5
65000	46	1	3
65050	44	0	6
65100	49	1	0
65150	49	0	1
65200	44	2	4
65250	46	0	4
65300	46	1	3
65350	48	0	2
65400	49	0	1
65450	46	1	3
65500	43	2	5
65550	45	0	5
65600	42	2	6
65650	48	0	2
65700	47	1	2
65750	47	0	3
65800	48	0	2
65850	46	1	3
65900	46	1	3
65950	47	0	3
66000	47	3	0
66050	49	0	1
66100	47	0	3
66150	46	0	4
66200	44	0	6
66250	45	1	4
66300	43	1	6
66350	46	0	4
66400	46	0	4
66450	45	1	4
66500	46	1	3
66550	43	3	4
66600	50	0	0
66650	45	1	4
66700	48	1	1
66750	46	1	3
66800	46	1	3
66850	44	1	5
66900	46	1	3
66950	48	1	1
67000	45	1	4
67050	49	0	1
67100	45	1	4
67150	47	0	3
67200	45	0	5
67250	46	0	4
67300	48	1	1
67350	43	2	5
67400	46	1	3
67450	47	2	1
67500	45	0	5
67550	46	0	4
67600	48	1	1
67650	49	1	0
67700	42	1	7
67750	43	2	5
67800	46	0	4
67850	45	0	5
67900	43	3	4
67950	44	2	4
68000	49	0	1
68050	47	0	3
68100	47	1	2
68150	43	3	4
68200	46	1	3
68250	45	1	4
68300	47	0	3
68350	47	2	1
68400	43	1	6
68450	48	0	2
68500	46	0	4
68550	47	2	1
68600	48	0	2
68650	49	0	1
68700	47	1	2
68750	44	0	6
68800	45	1	4
68850	44	1	5
68900	47	1	2
68950	42	4	4
69000	45	1	4
69050	47	1	2
69100	50	0	0
69150	47	1	2
69200	45	1	4
69250	47	1	2
69300	43	1	6
69350	47	1	2
69400	48	0	2
69450	45	2	3
69500	46	1	3
69550	45	0	5
69600	47	0	3
69650	44	2	4
69700	45	2	3
69750	43	0	7
69800	46	2	2
69850	47	0	3
69900	45	1	4
69950	48	0	2
70000	46	0	4
70050	48	2	0
70100	47	0	3
70150	48	0	2
70200	45	1	4
70250	46	1	3
70300	47	0	3
70350	47	1	2
70400	45	1	4
70450	45	3	2
70500	41	1	8
70550	47	0	3
70600	47	0	3
70650	47	1	2
70700	46	2	2
70750	44	1	5
70800	46	2	2
70850	47	0	3
70900	45	0	5
70950	48	0	2
71000	46	1	3
71050	47	1	2
71100	45	1	4
71150	45	2	3
71200	45	3	2
71250	45	2	3
71300	47	2	1
71350	47	2	1
71400	47	1	2
71450	47	1	2
71500	45	1	4
71550	43	3	4
71600	48	2	0
71650	45	1	4
71700	46	1	3
71750	47	1	2
71800	44	1	5
71850	50	0	0
71900	44	1	5
71950	46	0	4
72000	46	0	4
72050	46	2	2
72100	47	1	2
72150	44	2	4
72200	45	0	5
72250	48	1	1
72300	45	2	3
72350	47	1	2
72400	46	0	4
72450	48	2	0
72500	47	0	3
72550	49	0	1
72600	45	0	5
72650	45	2	3
72700	48	0	2
72750	47	0	3
72800	47	0	3
72850	41	2	7
72900	46	0	4
72950	46	1	3
73000	47	1	2
73050	49	0	1
73100	49	0	1
73150	48	0	2
73200	48	0	2
73250	49	0	1
73300	43	2	5
73350	47	0	3
73400	45	0	5
73450	48	0	2
73500	48	0	2
73550	46	1	3
73600	47	0	3
73650	48	0	2
73700	47	0	3
73750	46	0	4
73800	45	0	5
73850	44	1	5
73900	46	3	1
73950	48	0	2
74000	47	0	3
74050	47	1	2
74100	47	1	2
74150	46	1	3
74200	45	2	3
74250	45	1	4
74300	43	0	7
74350	49	0	1
74400	47	2	1
74450	47	1	2
74500	47	0	3
74550	47	0	3
74600	46	1	3
74650	50	0	0
74700	48	0	2
74750	42	1	7
74800	44	3	3
74850	44	2	4
74900	46	0	4
74950	43	1	6
75000	47	1	2
75050	43	2	5
75100	47	0	3
75150	49	1	0
75200	46	1	3
75250	49	0	1
75300	47	1	2
75350	48	0	2
75400	49	0	1
75450	44	2	4
75500	45	1	4
75550	47	0	3
75600	48	0	2
75650	46	1	3
75700	45	0	5
75750	49	0	1
75800	46	3	1
75850	49	0	1
75900	46	1	3
75950	46	0	4
76000	40	1	9
76050	50	0	0
76100	44	2	4
76150	46	1	3
76200	49	1	0
76250	47	0	3
76300	48	0	2
76350	45	1	4
76400	46	0	4
76450	48	0	2
76500	46	0	4
76550	48	0	2
76600	45	1	4
76650	45	2	3
76700	46	0	4
76750	48	1	1
76800	45	2	3
76850	46	1	3
76900	43	1	6
76950	46	1	3
77000	49	1	0
77050	43	2	5
77100	45	2	3
77150	46	0	4
77200	48	0	2
77250	47	0	3
77300	43	0	7
77350	41	3	6
77400	43	1	6
77450	44	0	6
77500	47	1	2
77550	47	1	2
77600	49	1	0
77650	47	2	1
77700	44	2	4
77750	44	0	6
