win:	lose:	draw:
50	25	19	6
100	34	10	6
150	35	10	5
200	24	21	5
250	29	18	3
300	31	17	2
350	33	15	2
400	37	8	5
450	31	11	8
500	33	10	7
550	28	15	7
600	31	13	6
650	29	9	12
700	31	14	5
750	33	15	2
800	37	10	3
850	30	11	9
900	31	13	6
950	34	12	4
1000	35	11	4
1050	31	12	7
1100	38	8	4
1150	35	9	6
1200	31	12	7
1250	29	12	9
1300	31	13	6
1350	34	8	8
1400	37	6	7
1450	36	5	9
1500	42	4	4
1550	29	13	8
1600	36	10	4
1650	31	14	5
1700	35	8	7
1750	35	11	4
1800	38	10	2
1850	43	5	2
1900	30	15	5
1950	37	8	5
2000	36	11	3
2050	31	11	8
2100	37	9	4
2150	36	9	5
2200	35	10	5
2250	34	13	3
2300	28	18	4
2350	37	9	4
2400	43	5	2
2450	24	12	14
2500	37	8	5
2550	36	10	4
2600	40	8	2
2650	28	13	9
2700	35	11	4
2750	38	7	5
2800	39	8	3
2850	32	13	5
2900	33	13	4
2950	31	14	5
3000	36	11	3
3050	37	8	5
3100	40	4	6
3150	30	11	9
3200	39	8	3
3250	42	6	2
3300	39	8	3
3350	35	6	9
3400	30	14	6
3450	33	6	11
3500	29	9	12
3550	38	7	5
3600	35	8	7
3650	33	11	6
3700	35	9	6
3750	34	8	8
3800	32	12	6
3850	35	9	6
3900	40	5	5
3950	38	8	4
4000	38	10	2
4050	35	8	7
4100	38	5	7
4150	38	7	5
4200	41	6	3
4250	33	10	7
4300	40	7	3
4350	39	8	3
4400	37	9	4
4450	35	6	9
4500	41	6	3
4550	38	9	3
4600	37	10	3
4650	37	7	6
4700	35	2	13
4750	34	8	8
4800	39	7	4
4850	39	6	5
4900	36	5	9
4950	42	4	4
5000	38	8	4
5050	41	6	3
5100	32	10	8
5150	28	11	11
5200	39	4	7
5250	39	6	5
5300	41	4	5
5350	37	9	4
5400	40	6	4
5450	35	7	8
5500	37	4	9
5550	39	5	6
5600	43	3	4
5650	36	10	4
5700	40	4	6
5750	36	10	4
5800	38	8	4
5850	37	9	4
5900	39	8	3
5950	38	9	3
6000	37	6	7
6050	33	14	3
6100	37	8	5
6150	40	7	3
6200	39	4	7
6250	37	9	4
6300	39	9	2
6350	39	7	4
6400	37	8	5
6450	41	3	6
6500	39	10	1
6550	38	5	7
6600	41	8	1
6650	34	9	7
6700	40	10	0
6750	35	10	5
6800	34	9	7
6850	41	7	2
6900	37	10	3
6950	37	8	5
7000	36	10	4
7050	38	8	4
7100	40	9	1
7150	37	10	3
7200	41	5	4
7250	36	8	6
7300	38	9	3
7350	36	9	5
7400	40	5	5
7450	35	8	7
7500	43	5	2
7550	37	7	6
7600	41	6	3
7650	36	9	5
7700	34	10	6
7750	38	9	3
7800	37	9	4
7850	35	7	8
7900	43	5	2
7950	42	5	3
8000	40	4	6
8050	37	8	5
8100	37	9	4
8150	44	3	3
8200	40	6	4
8250	36	4	10
8300	34	11	5
8350	37	5	8
8400	39	6	5
8450	39	4	7
8500	46	1	3
8550	37	8	5
8600	33	13	4
