episode	win	lose	draw	epsilon	rate
1000	295	621	84	0.49666664444430975	0.295
2000	398	535	67	0.4933332888886195	0.398
3000	488	430	82	0.48999993333292924	0.488
4000	551	374	75	0.486666577777239	0.551
5000	584	352	64	0.48333322222154873	0.584
6000	614	294	92	0.4799998666658585	0.614
7000	615	313	72	0.4766665111101682	0.615
8000	617	317	66	0.47333315555447797	0.617
9000	654	280	66	0.4699997999987877	0.654
10000	646	284	70	0.46666644444309746	0.646
11000	667	269	64	0.4633330888874072	0.667
12000	704	245	51	0.45999973333171695	0.704
13000	708	229	63	0.4566663777760267	0.708
14000	715	216	69	0.45333302222033645	0.715
15000	712	235	53	0.4499996666646462	0.712
16000	708	224	68	0.44666631110895594	0.708
17000	704	229	67	0.4433329555532657	0.704
18000	752	188	60	0.43999959999757543	0.752
19000	733	211	56	0.4366662444418852	0.733
20000	747	197	56	0.4333328888861949	0.747
21000	768	181	51	0.42999953333050467	0.768
22000	742	209	49	0.4266661777748144	0.742
23000	786	167	47	0.42333282221912416	0.786
24000	752	193	55	0.4199994666634339	0.752
25000	769	181	50	0.41666611110774365	0.769
26000	752	196	52	0.4133327555520534	0.752
27000	768	168	64	0.40999939999636315	0.768
28000	790	149	61	0.4066660444406729	0.79
29000	772	171	57	0.40333268888498264	0.772
30000	771	165	64	0.3999993333292924	0.771
31000	779	166	55	0.39666597777360213	0.779
32000	759	184	57	0.3933326222179119	0.759
33000	790	156	54	0.3899992666622216	0.79
34000	800	152	48	0.38666591110653137	0.8
35000	808	153	39	0.3833325555508411	0.808
36000	792	146	62	0.37999919999515086	0.792
37000	812	143	45	0.3766658444394606	0.812
38000	801	148	51	0.37333248888377035	0.801
39000	827	131	42	0.3699991333280801	0.827
40000	823	140	37	0.36666577777238984	0.823
41000	789	164	47	0.3633324222166996	0.789
42000	811	147	42	0.35999906666100934	0.811
43000	797	150	53	0.3566657111053191	0.797
44000	812	142	46	0.35333235554962883	0.812
45000	812	150	38	0.3499989999939386	0.812
46000	824	133	43	0.3466656444382483	0.824
47000	818	140	42	0.34333228888255807	0.818
48000	832	118	50	0.3399989333268678	0.832
49000	837	114	49	0.33666557777117756	0.837
