episode	win	lose	draw	epsilon	rate
50000	805	139	56	0.3333322222154873	0.805
51000	810	144	46	0.32999886665979705	0.81
52000	846	126	28	0.3266655111041068	0.846
53000	846	111	43	0.32333215554841654	0.846
54000	829	134	37	0.3199987999927263	0.829
55000	834	124	42	0.31666544443703604	0.834
56000	844	115	41	0.3133320888813458	0.844
57000	855	110	35	0.30999873332565553	0.855
58000	824	128	48	0.3066653777699653	0.824
59000	842	104	54	0.303332022214275	0.842
60000	848	106	46	0.29999866665858477	0.848
61000	832	126	42	0.2966653111028945	0.832
62000	848	120	32	0.29333195554720426	0.848
63000	831	123	46	0.289998599991514	0.831
64000	842	114	44	0.28666524443582375	0.842
65000	843	119	38	0.2833318888801335	0.843
66000	868	94	38	0.27999853332444324	0.868
67000	864	102	34	0.276665177768753	0.864
68000	863	83	54	0.27333182221306274	0.863
69000	851	110	39	0.2699984666573725	0.851
70000	881	84	35	0.26666511110168223	0.881
71000	861	106	33	0.263331755545992	0.861
72000	868	92	40	0.2599983999903017	0.868
73000	860	100	40	0.25666504443461147	0.86
74000	869	92	39	0.2533316888789212	0.869
75000	877	93	30	0.24999833332323096	0.877
76000	867	96	37	0.2466649777675407	0.867
77000	862	104	34	0.24333162221185045	0.862
78000	870	97	33	0.2399982666561602	0.87
79000	880	96	24	0.23666491110046994	0.88
80000	895	82	23	0.2333315555447797	0.895
81000	906	73	21	0.22999819998908944	0.906
82000	880	84	36	0.22666484443339918	0.88
83000	885	87	28	0.22333148887770893	0.885
84000	896	79	25	0.21999813332201867	0.896
85000	901	73	26	0.21666477776632842	0.901
86000	896	71	33	0.21333142221063817	0.896
87000	896	70	34	0.2099980666549479	0.896
88000	903	77	20	0.20666471109925766	0.903
89000	891	79	30	0.2033313555435674	0.891
90000	898	76	26	0.19999799998787715	0.898
91000	908	62	30	0.1966646444321869	0.908
92000	896	68	36	0.19333128887649664	0.896
93000	916	63	21	0.1899979333208064	0.916
94000	918	62	20	0.18666457776511614	0.918
95000	909	62	29	0.18333122220942588	0.909
96000	912	68	20	0.17999786665373563	0.912
97000	924	57	19	0.17666451109804537	0.924
98000	928	50	22	0.17333115554235512	0.928
99000	914	65	21	0.16999779998666487	0.914
100000	919	59	22	0.1666644444309746	0.919
101000	904	63	33	0.16333108887528436	0.904
102000	915	64	21	0.1599977333195941	0.915
103000	905	76	19	0.15666437776390385	0.905
104000	926	60	14	0.1533310222082136	0.926
105000	930	46	24	0.14999766665252334	0.93
106000	928	56	16	0.1466643110968331	0.928
107000	928	59	13	0.14333095554114283	0.928
108000	936	49	15	0.13999759998545258	0.936
109000	925	57	18	0.13666424442976233	0.925
110000	933	48	19	0.13333088887407207	0.933
111000	933	49	18	0.12999753331838182	0.933
112000	941	43	16	0.12666417776269157	0.941
113000	928	47	25	0.12333082220699436	0.928
114000	935	49	16	0.11999746665129023	0.935
115000	927	57	16	0.1166641110955861	0.927
116000	942	44	14	0.11333075553988196	0.942
117000	944	39	17	0.10999739998417783	0.944
118000	944	41	15	0.1066640444284737	0.944
119000	956	29	15	0.10333068887276957	0.956
120000	952	38	10	0.09999733331706544	0.952
121000	941	50	9	0.0966639777613613	0.941
122000	952	35	13	0.09333062220565717	0.952
123000	949	40	11	0.08999726664995304	0.949
124000	954	33	13	0.08666391109424891	0.954
125000	947	38	15	0.08333055553854478	0.947
126000	961	24	15	0.07999719998284065	0.961
127000	949	34	17	0.07666384442713652	0.949
128000	951	40	9	0.07333048887143238	0.951
129000	962	26	12	0.06999713331572825	0.962
130000	959	32	9	0.06666377776002412	0.959
131000	958	34	8	0.06333042220431999	0.958
132000	969	21	10	0.05999706664861586	0.969
133000	963	31	6	0.056663711092911725	0.963
134000	969	24	7	0.053330355537207594	0.969
135000	972	22	6	0.04999699998150346	0.972
136000	964	28	8	0.04666364442579933	0.964
137000	975	18	7	0.0433302888700952	0.975
138000	968	26	6	0.03999693331439107	0.968
139000	977	20	3	0.036663577758686935	0.977
140000	975	19	6	0.033330222202982804	0.975
141000	976	17	7	0.029996866647278672	0.976
142000	969	25	6	0.02666351109157454	0.969
143000	984	10	6	0.02333015553587041	0.984
144000	980	18	2	0.019996799980166277	0.98
145000	984	13	3	0.016663444424462145	0.984
146000	991	9	0	0.013330088868758014	0.991
147000	985	13	2	0.009996733313053882	0.985
148000	983	8	9	0.0066633777573497505	0.983
149000	990	10	0	0.003330022201645694	0.99
150000	989	10	1	1.497699405087708e-12	0.989
151000	993	7	0	1.497699405087708e-12	0.993
152000	993	6	1	1.497699405087708e-12	0.993
153000	990	10	0	1.497699405087708e-12	0.99
154000	989	10	1	1.497699405087708e-12	0.989
155000	987	12	1	1.497699405087708e-12	0.987
156000	991	7	2	1.497699405087708e-12	0.991
157000	985	15	0	1.497699405087708e-12	0.985
158000	986	12	2	1.497699405087708e-12	0.986
159000	990	9	1	1.497699405087708e-12	0.99
160000	987	11	2	1.497699405087708e-12	0.987
161000	986	11	3	1.497699405087708e-12	0.986
162000	986	14	0	1.497699405087708e-12	0.986
163000	994	5	1	1.497699405087708e-12	0.994
164000	987	13	0	1.497699405087708e-12	0.987
165000	983	14	3	1.497699405087708e-12	0.983
166000	993	6	1	1.497699405087708e-12	0.993
167000	995	5	0	1.497699405087708e-12	0.995
168000	989	10	1	1.497699405087708e-12	0.989
169000	993	7	0	1.497699405087708e-12	0.993
170000	992	6	2	1.497699405087708e-12	0.992
171000	991	9	0	1.497699405087708e-12	0.991
172000	994	6	0	1.497699405087708e-12	0.994
173000	989	10	1	1.497699405087708e-12	0.989
174000	993	6	1	1.497699405087708e-12	0.993
175000	993	6	1	1.497699405087708e-12	0.993
176000	987	12	1	1.497699405087708e-12	0.987
177000	989	10	1	1.497699405087708e-12	0.989
178000	992	5	3	1.497699405087708e-12	0.992
179000	990	8	2	1.497699405087708e-12	0.99
180000	987	11	2	1.497699405087708e-12	0.987
181000	990	7	3	1.497699405087708e-12	0.99
182000	990	10	0	1.497699405087708e-12	0.99
183000	990	8	2	1.497699405087708e-12	0.99
184000	985	15	0	1.497699405087708e-12	0.985
185000	992	8	0	1.497699405087708e-12	0.992
186000	995	4	1	1.497699405087708e-12	0.995
187000	994	3	3	1.497699405087708e-12	0.994
188000	985	13	2	1.497699405087708e-12	0.985
189000	987	12	1	1.497699405087708e-12	0.987
190000	990	10	0	1.497699405087708e-12	0.99
191000	991	9	0	1.497699405087708e-12	0.991
192000	989	8	3	1.497699405087708e-12	0.989
193000	989	11	0	1.497699405087708e-12	0.989
194000	994	6	0	1.497699405087708e-12	0.994
195000	991	9	0	1.497699405087708e-12	0.991
196000	986	12	2	1.497699405087708e-12	0.986
197000	991	7	2	1.497699405087708e-12	0.991
198000	987	12	1	1.497699405087708e-12	0.987
199000	988	12	0	1.497699405087708e-12	0.988
200000	986	12	2	1.497699405087708e-12	0.986
201000	989	10	1	1.497699405087708e-12	0.989
202000	990	8	2	1.497699405087708e-12	0.99
203000	987	11	2	1.497699405087708e-12	0.987
204000	992	7	1	1.497699405087708e-12	0.992
205000	988	10	2	1.497699405087708e-12	0.988
206000	987	13	0	1.497699405087708e-12	0.987
207000	987	11	2	1.497699405087708e-12	0.987
208000	993	5	2	1.497699405087708e-12	0.993
209000	993	6	1	1.497699405087708e-12	0.993
210000	994	5	1	1.497699405087708e-12	0.994
211000	989	11	0	1.497699405087708e-12	0.989
212000	988	11	1	1.497699405087708e-12	0.988
213000	990	9	1	1.497699405087708e-12	0.99
214000	990	8	2	1.497699405087708e-12	0.99
215000	994	5	1	1.497699405087708e-12	0.994
216000	985	14	1	1.497699405087708e-12	0.985
217000	986	11	3	1.497699405087708e-12	0.986
218000	989	9	2	1.497699405087708e-12	0.989
219000	983	16	1	1.497699405087708e-12	0.983
220000	985	14	1	1.497699405087708e-12	0.985
221000	986	14	0	1.497699405087708e-12	0.986
222000	989	10	1	1.497699405087708e-12	0.989
223000	989	8	3	1.497699405087708e-12	0.989
224000	995	4	1	1.497699405087708e-12	0.995
225000	992	7	1	1.497699405087708e-12	0.992
226000	991	9	0	1.497699405087708e-12	0.991
227000	989	11	0	1.497699405087708e-12	0.989
228000	989	10	1	1.497699405087708e-12	0.989
229000	989	11	0	1.497699405087708e-12	0.989
230000	986	13	1	1.497699405087708e-12	0.986
231000	987	12	1	1.497699405087708e-12	0.987
232000	987	12	1	1.497699405087708e-12	0.987
233000	990	9	1	1.497699405087708e-12	0.99
234000	989	8	3	1.497699405087708e-12	0.989
235000	990	10	0	1.497699405087708e-12	0.99
236000	991	8	1	1.497699405087708e-12	0.991
237000	993	7	0	1.497699405087708e-12	0.993
238000	984	11	5	1.497699405087708e-12	0.984
239000	981	15	4	1.497699405087708e-12	0.981
240000	991	8	1	1.497699405087708e-12	0.991
241000	990	9	1	1.497699405087708e-12	0.99
242000	990	9	1	1.497699405087708e-12	0.99
243000	983	14	3	1.497699405087708e-12	0.983
244000	991	9	0	1.497699405087708e-12	0.991
245000	992	8	0	1.497699405087708e-12	0.992
246000	986	13	1	1.497699405087708e-12	0.986
247000	995	5	0	1.497699405087708e-12	0.995
248000	986	13	1	1.497699405087708e-12	0.986
249000	991	6	3	1.497699405087708e-12	0.991
250000	991	8	1	1.497699405087708e-12	0.991
251000	990	9	1	1.497699405087708e-12	0.99
252000	991	9	0	1.497699405087708e-12	0.991
253000	990	9	1	1.497699405087708e-12	0.99
254000	994	6	0	1.497699405087708e-12	0.994
255000	986	13	1	1.497699405087708e-12	0.986
256000	990	10	0	1.497699405087708e-12	0.99
257000	988	11	1	1.497699405087708e-12	0.988
258000	989	10	1	1.497699405087708e-12	0.989
259000	985	14	1	1.497699405087708e-12	0.985
260000	987	11	2	1.497699405087708e-12	0.987
261000	980	17	3	1.497699405087708e-12	0.98
262000	995	5	0	1.497699405087708e-12	0.995
263000	990	9	1	1.497699405087708e-12	0.99
264000	993	6	1	1.497699405087708e-12	0.993
265000	991	9	0	1.497699405087708e-12	0.991
266000	992	8	0	1.497699405087708e-12	0.992
267000	991	9	0	1.497699405087708e-12	0.991
268000	990	8	2	1.497699405087708e-12	0.99
269000	992	6	2	1.497699405087708e-12	0.992
270000	989	10	1	1.497699405087708e-12	0.989
271000	986	10	4	1.497699405087708e-12	0.986
272000	989	9	2	1.497699405087708e-12	0.989
273000	990	9	1	1.497699405087708e-12	0.99
274000	986	12	2	1.497699405087708e-12	0.986
275000	987	11	2	1.497699405087708e-12	0.987
276000	985	12	3	1.497699405087708e-12	0.985
277000	990	10	0	1.497699405087708e-12	0.99
278000	991	9	0	1.497699405087708e-12	0.991
279000	992	8	0	1.497699405087708e-12	0.992
280000	990	9	1	1.497699405087708e-12	0.99
281000	991	7	2	1.497699405087708e-12	0.991
282000	990	9	1	1.497699405087708e-12	0.99
283000	989	10	1	1.497699405087708e-12	0.989
284000	995	4	1	1.497699405087708e-12	0.995
285000	984	16	0	1.497699405087708e-12	0.984
286000	983	13	4	1.497699405087708e-12	0.983
287000	993	6	1	1.497699405087708e-12	0.993
288000	988	12	0	1.497699405087708e-12	0.988
289000	983	17	0	1.497699405087708e-12	0.983
290000	991	9	0	1.497699405087708e-12	0.991
291000	992	7	1	1.497699405087708e-12	0.992
292000	983	17	0	1.497699405087708e-12	0.983
293000	990	10	0	1.497699405087708e-12	0.99
294000	988	11	1	1.497699405087708e-12	0.988
295000	993	7	0	1.497699405087708e-12	0.993
296000	986	14	0	1.497699405087708e-12	0.986
297000	990	8	2	1.497699405087708e-12	0.99
298000	988	11	1	1.497699405087708e-12	0.988
299000	993	7	0	1.497699405087708e-12	0.993
