episode	win	lose	draw	epsilon	rate
125000	973	27	0	7.909649226821996e-13	0.973
126000	974	26	0	7.909649226821996e-13	0.974
127000	978	22	0	7.909649226821996e-13	0.978
128000	983	17	0	7.909649226821996e-13	0.983
129000	979	21	0	7.909649226821996e-13	0.979
130000	974	26	0	7.909649226821996e-13	0.974
131000	975	25	0	7.909649226821996e-13	0.975
132000	972	28	0	7.909649226821996e-13	0.972
133000	977	23	0	7.909649226821996e-13	0.977
134000	981	19	0	7.909649226821996e-13	0.981
135000	976	24	0	7.909649226821996e-13	0.976
136000	977	23	0	7.909649226821996e-13	0.977
137000	983	17	0	7.909649226821996e-13	0.983
138000	975	25	0	7.909649226821996e-13	0.975
139000	982	18	0	7.909649226821996e-13	0.982
140000	982	18	0	7.909649226821996e-13	0.982
141000	975	25	0	7.909649226821996e-13	0.975
142000	975	25	0	7.909649226821996e-13	0.975
143000	982	18	0	7.909649226821996e-13	0.982
144000	974	26	0	7.909649226821996e-13	0.974
145000	979	21	0	7.909649226821996e-13	0.979
146000	979	21	0	7.909649226821996e-13	0.979
147000	974	26	0	7.909649226821996e-13	0.974
148000	967	33	0	7.909649226821996e-13	0.967
149000	979	21	0	7.909649226821996e-13	0.979
150000	973	27	0	7.909649226821996e-13	0.973
151000	976	24	0	7.909649226821996e-13	0.976
152000	975	25	0	7.909649226821996e-13	0.975
153000	970	30	0	7.909649226821996e-13	0.97
154000	970	30	0	7.909649226821996e-13	0.97
155000	974	26	0	7.909649226821996e-13	0.974
156000	976	24	0	7.909649226821996e-13	0.976
157000	970	30	0	7.909649226821996e-13	0.97
158000	978	22	0	7.909649226821996e-13	0.978
159000	978	22	0	7.909649226821996e-13	0.978
160000	979	21	0	7.909649226821996e-13	0.979
161000	973	27	0	7.909649226821996e-13	0.973
162000	977	23	0	7.909649226821996e-13	0.977
163000	977	23	0	7.909649226821996e-13	0.977
164000	978	22	0	7.909649226821996e-13	0.978
165000	974	26	0	7.909649226821996e-13	0.974
166000	975	25	0	7.909649226821996e-13	0.975
167000	971	29	0	7.909649226821996e-13	0.971
168000	977	23	0	7.909649226821996e-13	0.977
169000	967	33	0	7.909649226821996e-13	0.967
170000	973	27	0	7.909649226821996e-13	0.973
171000	978	22	0	7.909649226821996e-13	0.978
172000	981	19	0	7.909649226821996e-13	0.981
173000	975	25	0	7.909649226821996e-13	0.975
174000	978	22	0	7.909649226821996e-13	0.978
175000	982	18	0	7.909649226821996e-13	0.982
176000	981	19	0	7.909649226821996e-13	0.981
177000	983	17	0	7.909649226821996e-13	0.983
178000	985	15	0	7.909649226821996e-13	0.985
179000	977	23	0	7.909649226821996e-13	0.977
