Episode	avg	min	max
88500	-170.94	-200.0	-115.0
89000	-176.946	-200.0	-115.0
89500	-177.47	-200.0	-130.0
90000	-184.358	-200.0	-141.0
90500	-172.008	-200.0	-111.0
91000	-176.882	-200.0	-122.0
91500	-182.966	-200.0	-144.0
92000	-175.958	-200.0	-124.0
92500	-183.85	-200.0	-120.0
93000	-171.078	-200.0	-114.0
93500	-172.922	-200.0	-144.0
94000	-173.25	-200.0	-121.0
94500	-173.706	-200.0	-136.0
95000	-180.004	-200.0	-142.0
95500	-176.218	-200.0	-140.0
96000	-177.564	-200.0	-115.0
96500	-175.664	-200.0	-112.0
97000	-172.77	-200.0	-134.0
97500	-170.636	-200.0	-138.0
98000	-173.8	-200.0	-118.0
98500	-169.634	-200.0	-116.0
99000	-162.268	-200.0	-109.0
99500	-173.812	-200.0	-109.0
100000	-169.566	-200.0	-109.0
100500	-172.992	-200.0	-118.0
101000	-175.884	-200.0	-114.0
101500	-178.498	-200.0	-106.0
102000	-165.76	-200.0	-112.0
102500	-164.434	-200.0	-111.0
103000	-179.27	-200.0	-120.0
103500	-169.738	-200.0	-114.0
104000	-168.806	-200.0	-111.0
104500	-175.218	-200.0	-122.0
105000	-167.878	-200.0	-99.0
105500	-171.072	-200.0	-112.0
106000	-163.624	-200.0	-115.0
106500	-169.392	-200.0	-116.0
107000	-178.39	-200.0	-115.0
107500	-171.406	-200.0	-122.0
108000	-159.692	-200.0	-87.0
108500	-165.428	-200.0	-120.0
109000	-169.996	-200.0	-112.0
109500	-166.852	-200.0	-109.0
110000	-161.712	-200.0	-111.0
110500	-167.16	-200.0	-107.0
111000	-162.868	-200.0	-113.0
111500	-169.524	-200.0	-110.0
112000	-178.876	-200.0	-143.0
112500	-170.824	-200.0	-133.0
113000	-165.106	-200.0	-99.0
113500	-161.934	-200.0	-111.0
114000	-146.486	-200.0	-112.0
114500	-170.542	-200.0	-110.0
115000	-170.642	-200.0	-111.0
115500	-158.126	-200.0	-95.0
116000	-157.58	-200.0	-116.0
116500	-151.188	-200.0	-97.0
117000	-164.4	-200.0	-107.0
117500	-145.028	-200.0	-107.0
118000	-148.692	-200.0	-108.0
118500	-159.96	-200.0	-113.0
119000	-162.918	-200.0	-116.0
119500	-161.042	-200.0	-118.0
120000	-160.498	-200.0	-113.0
120500	-156.896	-200.0	-135.0
121000	-154.862	-200.0	-112.0
121500	-138.37	-198.0	-112.0
122000	-136.96	-200.0	-110.0
122500	-137.598	-200.0	-111.0
123000	-140.982	-200.0	-111.0
123500	-170.8	-200.0	-114.0
124000	-158.85	-200.0	-116.0
124500	-152.936	-200.0	-113.0
125000	-164.442	-200.0	-116.0
125500	-149.486	-200.0	-112.0
126000	-155.9	-200.0	-116.0
126500	-143.37	-200.0	-117.0
127000	-138.242	-167.0	-117.0
127500	-137.604	-165.0	-117.0
128000	-138.782	-165.0	-117.0
128500	-138.096	-165.0	-117.0
129000	-138.086	-165.0	-117.0
129500	-137.684	-165.0	-117.0
130000	-136.526	-165.0	-117.0
130500	-137.6	-164.0	-117.0
131000	-137.938	-165.0	-117.0
131500	-138.34	-165.0	-117.0
132000	-137.728	-165.0	-117.0
132500	-138.142	-165.0	-117.0
133000	-138.462	-164.0	-117.0
133500	-137.66	-165.0	-117.0
134000	-138.186	-164.0	-117.0
134500	-137.716	-165.0	-117.0
