win:	lose:	draw:
50	13	29	8	0.49949998999979883
100	10	25	15	0.49899997999959766
150	9	27	14	0.4984999699993965
200	20	17	13	0.49799995999919533
250	18	19	13	0.49749994999899416
300	18	16	16	0.496999939998793
350	19	16	15	0.4964999299985918
400	15	15	20	0.49599991999839066
450	17	16	17	0.4954999099981895
500	12	20	18	0.4949998999979883
550	12	17	21	0.49449988999778716
600	18	9	23	0.493999879997586
650	12	18	20	0.4934998699973848
700	13	16	21	0.49299985999718365
750	18	15	17	0.4924998499969825
800	16	14	20	0.4919998399967813
850	18	14	18	0.49149982999658015
900	14	14	22	0.490999819996379
950	20	14	16	0.4904998099961778
1000	19	18	13	0.48999979999597665
1050	20	13	17	0.4894997899957755
1100	19	13	18	0.4889997799955743
1150	19	11	20	0.48849976999537315
1200	17	16	17	0.487999759995172
1250	12	12	26	0.4874997499949708
1300	23	12	15	0.48699973999476964
1350	15	7	28	0.4864997299945685
1400	22	14	14	0.4859997199943673
1450	15	13	22	0.48549970999416614
1500	21	10	19	0.48499969999396497
1550	20	13	17	0.4844996899937638
1600	16	18	16	0.48399967999356264
1650	23	9	18	0.48349966999336147
1700	13	16	21	0.4829996599931603
1750	19	13	18	0.48249964999295913
1800	24	9	17	0.48199963999275797
1850	23	13	14	0.4814996299925568
1900	19	17	14	0.48099961999235563
1950	16	13	21	0.48049960999215446
2000	14	8	28	0.4799995999919533
2050	19	15	16	0.47949958999175213
2100	20	11	19	0.47899957999155096
2150	25	11	14	0.4784995699913498
2200	20	13	17	0.4779995599911486
2250	21	15	14	0.47749954999094746
2300	26	6	18	0.4769995399907463
2350	16	12	22	0.4764995299905451
2400	21	21	8	0.47599951999034396
2450	20	12	18	0.4754995099901428
2500	12	18	20	0.4749994999899416
2550	21	6	23	0.47449948998974045
2600	22	12	16	0.4739994799895393
2650	16	14	20	0.4734994699893381
2700	25	11	14	0.47299945998913695
2750	23	6	21	0.4724994499889358
2800	11	12	27	0.4719994399887346
2850	15	13	22	0.47149942998853345
2900	22	7	21	0.4709994199883323
2950	22	8	20	0.4704994099881311
3000	19	12	19	0.46999939998792994
3050	22	10	18	0.4694993899877288
3100	20	14	16	0.4689993799875276
3150	19	9	22	0.46849936998732644
3200	16	14	20	0.4679993599871253
3250	23	7	20	0.4674993499869241
3300	17	14	19	0.46699933998672294
3350	21	15	14	0.46649932998652177
3400	17	12	21	0.4659993199863206
3450	22	9	19	0.46549930998611944
3500	25	7	18	0.46499929998591827
3550	16	13	21	0.4644992899857171
3600	15	14	21	0.46399927998551593
3650	18	11	21	0.46349926998531477
3700	14	15	21	0.4629992599851136
3750	23	6	21	0.46249924998491243
3800	15	8	27	0.46199923998471126
3850	18	10	22	0.4614992299845101
3900	15	13	22	0.46099921998430893
3950	22	7	21	0.46049920998410776
4000	19	9	22	0.4599991999839066
4050	21	11	18	0.4594991899837054
4100	21	12	17	0.45899917998350426
4150	17	14	19	0.4584991699833031
4200	20	18	12	0.4579991599831019
4250	22	9	19	0.45749914998290075
4300	14	13	23	0.4569991399826996
4350	19	15	16	0.4564991299824984
4400	15	15	20	0.45599911998229725
4450	25	5	20	0.4554991099820961
4500	20	13	17	0.4549990999818949
4550	16	10	24	0.45449908998169375
4600	20	11	19	0.4539990799814926
4650	19	8	23	0.4534990699812914
4700	18	9	23	0.45299905998109025
4750	22	14	14	0.4524990499808891
4800	19	7	24	0.4519990399806879
4850	19	8	23	0.45149902998048674
4900	14	15	21	0.4509990199802856
4950	18	11	21	0.4504990099800844
5000	24	8	18	0.44999899997988324
5050	24	11	15	0.4494989899796821
5100	21	5	24	0.4489989799794809
5150	22	10	18	0.44849896997927974
5200	21	12	17	0.44799895997907857
5250	25	12	13	0.4474989499788774
5300	20	11	19	0.44699893997867624
5350	13	14	23	0.44649892997847507
5400	22	12	16	0.4459989199782739
5450	29	6	15	0.44549890997807273
5500	19	10	21	0.44499889997787156
5550	17	12	21	0.4444988899776704
5600	24	9	17	0.44399887997746923
5650	21	11	18	0.44349886997726806
5700	19	10	21	0.4429988599770669
5750	15	9	26	0.4424988499768657
5800	19	6	25	0.44199883997666456
5850	18	11	21	0.4414988299764634
5900	17	6	27	0.4409988199762622
5950	18	16	16	0.44049880997606106
6000	20	9	21	0.4399987999758599
6050	21	14	15	0.4394987899756587
6100	15	9	26	0.43899877997545755
6150	26	3	21	0.4384987699752564
6200	18	10	22	0.4379987599750552
6250	19	15	16	0.43749874997485405
6300	22	8	20	0.4369987399746529
6350	23	8	19	0.4364987299744517
6400	17	13	20	0.43599871997425055
6450	24	8	18	0.4354987099740494
6500	16	8	26	0.4349986999738482
6550	19	12	19	0.43449868997364705
6600	20	10	20	0.4339986799734459
6650	24	10	16	0.4334986699732447
6700	19	11	20	0.43299865997304354
6750	19	6	25	0.4324986499728424
6800	20	9	21	0.4319986399726412
6850	18	6	26	0.43149862997244004
6900	20	11	19	0.43099861997223887
6950	19	7	24	0.4304986099720377
7000	14	14	22	0.42999859997183654
7050	21	6	23	0.42949858997163537
7100	19	6	25	0.4289985799714342
7150	14	13	23	0.42849856997123303
7200	22	6	22	0.42799855997103187
7250	19	13	18	0.4274985499708307
7300	22	9	19	0.42699853997062953
7350	16	14	20	0.42649852997042836
7400	20	8	22	0.4259985199702272
7450	23	10	17	0.42549850997002603
7500	23	8	19	0.42499849996982486
7550	15	14	21	0.4244984899696237
7600	15	14	21	0.4239984799694225
7650	24	3	23	0.42349846996922136
7700	21	13	16	0.4229984599690202
7750	22	8	20	0.422498449968819
7800	15	10	25	0.42199843996861786
